DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
699.14216,1.847040092,31.764,7.3093,1.048170697,873.38719,3
695.09804,1.869228417,13.324,0.7927,1.048469838,1058.4883,2
660.90686,1.868473889,33.215,3.8641,1.048570195,889.74717,2
697.79412,1.837954139,20.298,14.194,1.049516712,939.13863,2
658.82353,1.867561493,13.57,3.35,1.049709251,998.346,2
652.81863,1.852459914,34.766,13.093,1.049776341,929.71217,2
637.37745,1.837336917,22.703,2.8195,1.05047268,947.31857,2
647.42647,1.838647779,19.941,2.0497,1.050544563,961.10768,2
627.94118,1.863811599,38.414,3.01,1.052038938,890.75998,2
680.26961,1.865086131,38.332,3.4359,1.053220873,940.93042,2
676.34804,1.863458107,34.475,15.147,1.053233562,961.65304,3
679.65686,1.874298219,25.792,0.0547,1.053829115,937.97001,2
670.22059,1.860155834,27.063,1.2258,1.054680018,889.51345,3
686.39706,1.868734736,36.453,7.2546,1.054726524,945.37097,3
664.21569,1.85113164,35.659,16.632,1.054736866,1094.0127,2
600.4902,1.875765221,31.539,6.5686,1.054784151,918.02647,2
696.44608,1.874703153,26.143,5.0362,1.056288589,962.35411,2
668.87255,1.853467774,35.193,11.296,1.056347629,941.55368,2
676.96079,1.87215246,34.848,4.9311,1.056461474,895.12263,2
695.71079,1.864858717,34.421,8.4316,1.056923746,970.45624,3
